横坐标(米),纵坐标(米),角度代价,GDOP(米每弧度),第二次检测耗时(秒),条件接收采样覆盖率,1000米采样覆盖率,离散源采样最坏一阶误差(米),统计位置RMS(米),是否折中点
847.5079138712016,-255.79354160276188,0.8203779518172786,3163.878143619871,182.05366418123066,1.0,0.9663182346109176,73.33305336393262,31.881334252290333,0
856.5709917415682,-251.56735898535487,0.8171880319852879,3130.888866545922,183.54971296532514,1.0,0.9721254355400697,72.4563960686204,31.548912420161027,0
865.6340696119346,-247.34117636794787,0.8139192137134558,3098.1853980435158,185.05554698481242,1.0,0.9802555168408827,71.58723463702044,31.219370584728146,0
874.6971474823011,-243.11499375054086,0.8105691804148536,3065.768402265667,186.57092278225608,1.0,0.9860627177700348,70.72558917750153,30.892715438437897,0
883.7602253526676,-238.88881113313386,0.8071355449291805,3033.638587817545,188.09560344257312,1.0,0.991869918699187,69.8714803947019,30.568954121665858,0
892.8233032230341,-234.66262851572685,0.8036158478377476,3001.796709791971,189.62935844550833,1.0,0.9976771196283392,69.02492959866925,30.248094243228024,0
901.8863810934006,-230.4364458983199,0.8000075558035077,2970.2435718692554,191.17196351760379,1.0,1.0,68.18595871363682,29.930143901540156,0
910.9494589637671,-226.2102632809129,0.7963080599453487,2938.9800284815683,192.72320048411706,1.0,1.0,67.35459028637503,29.615111706427403,0
920.0125368341336,-221.9840806635059,0.7925146742569132,2908.006987041781,194.28285712129346,1.0,1.0,66.53084749405414,29.30300680158359,0
929.0756147045001,-217.7578980460989,0.7946988412208125,2877.325410236516,195.85072700935672,1.0,1.0,65.71475415154733,28.993838887677516,0
938.1386925748666,-213.53171542869188,0.7986149713065117,2846.9363183828004,197.42660938653987,1.0,1.0,64.90633471809824,28.687618246100158,0
947.2017704452331,-209.30553281128493,0.8024345065541706,2816.8407918474572,199.01030900444442,1.0,1.0,64.10561430327076,28.38435576334405,0
956.2648483155996,-205.07935019387793,0.8061601286435229,2787.0399735279816,200.6016359849784,1.0,1.0,63.31261867209235,28.08406295600225,0
965.3279261859661,-200.85316757647092,0.8097944478468341,2757.535071393269,202.20040567909592,1.0,1.0,62.52737424929516,27.78675199637039,0
974.3910040563326,-196.62698495906392,0.8133400040877123,2728.3273610821325,203.80643852752857,1.0,1.0,61.74990812255295,27.492435738631077,0
983.4540819266991,-192.4008023416569,0.8167992680792024,2699.418188557068,205.4195599236761,1.0,1.0,60.98024804460293,27.201127745594967,0
643.8940181057317,-339.70648131534915,0.8780588082769238,4018.5538358705926,150.60219778561037,1.0,0.8292682926829268,95.61065098426653,40.49361329246144,0
652.9570959760981,-335.4802986979422,0.8761847048896013,3977.5675692753543,151.81961721786362,1.0,0.8327526132404182,94.55406848113212,40.0806084908349,0
